CPU	1	0.05
CPU	3	0.045
CPU	5	0.048
CPU	7	0.055
CPU	9	0.052
CPU	11	0.05
CPU	13	0.045
CPU	15	0.048
CPU	17	0.055
CPU	19	0.052
CPU	21	0.05
CPU	23	0.045
CPU	25	0.048
CPU	27	0.055
CPU	29	0.052
CPU	31	0.05
CPU	33	0.045
CPU	35	0.048
CPU	37	0.055
CPU	39	0.052
CPU	41	0.05
CPU	43	0.045
CPU	45	0.048
CPU	47	0.055
CPU	49	0.05
CPU	51	0.05
CPU	53	0.045
CPU	55	0.048
CPU	57	0.055
CPU	59	0.052
CPU	61	0.05
CPU	63	0.045
CPU	65	0.048
CPU	67	0.055
CPU	69	0.052
CPU	71	0.05
CPU	73	0.045
CPU	75	0.048
CPU	77	0.055
CPU	79	0.052
CPU	81	0.05
CPU	83	0.045
CPU	85	0.048
CPU	87	0.055
CPU	89	0.052
CPU	91	0.05
CPU	93	0.045
CPU	95	0.048
CPU	97	0.055
CPU	99	0.05
IO	0	290
IO	2	292
IO	4	291
IO	6	289
IO	8	288
IO	10	290.5
IO	12	289.5
IO	14	287
IO	16	293
IO	18	290
IO	20	292
IO	22	291
IO	24	289
IO	26	288
IO	28	290.5
IO	30	289.5
IO	32	287
IO	34	293
IO	36	290
IO	38	292
IO	40	291
IO	42	289
IO	44	288
IO	46	290.5
IO	48	289.5
IO	50	287
IO	52	293
IO	54	290
IO	56	292
IO	58	291
IO	60	289
IO	62	288
IO	64	290.5
IO	66	289.5
IO	68	287
IO	70	293
IO	72	290
IO	74	292
IO	76	291
IO	78	289
IO	80	288
IO	82	290.5
IO	84	289.5
IO	86	287
IO	88	293
IO	90	290
IO	92	292
IO	94	291
IO	96	289
IO	98	288
