CPU	1	0.063
CPU	3	0.067
CPU	5	0.064
CPU	7	0.066
CPU	9	0.065
CPU	11	0.062
CPU	13	0.068
CPU	15	0.065
CPU	17	0.064
CPU	19	0.066
CPU	21	0.063
CPU	23	0.067
CPU	25	0.064
CPU	27	0.066
CPU	29	0.065
CPU	31	0.062
CPU	33	0.068
CPU	35	0.065
CPU	37	0.064
CPU	39	0.066
CPU	41	0.062
CPU	43	0.068
CPU	45	0.065
CPU	47	0.064
CPU	49	0.066
IO	0	66
IO	2	64
IO	4	65
IO	6	60
IO	8	70
IO	10	65
IO	12	65
IO	14	64.5
IO	16	65.5
IO	18	66.3
IO	20	63.7
IO	22	66
IO	24	64
IO	26	65
IO	28	60
IO	30	70
IO	32	65
IO	34	65
IO	36	64.5
IO	38	65.5
IO	40	66.3
IO	42	63.7
IO	44	66.3
IO	46	63.7
IO	48	65
